REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,27/05/2020 0:00,8020.0,38.61,TRADE
NSW1,27/05/2020 0:30,7840.07,38.38,TRADE
NSW1,27/05/2020 1:00,7700.54,35.3,TRADE
NSW1,27/05/2020 1:30,7467.74,35.05,TRADE
NSW1,27/05/2020 2:00,7236.79,34.78,TRADE
NSW1,27/05/2020 2:30,6918.06,32.99,TRADE
NSW1,27/05/2020 3:00,6645.18,27.5,TRADE
NSW1,27/05/2020 3:30,6451.04,13.03,TRADE
NSW1,27/05/2020 4:00,6370.36,20.2,TRADE
NSW1,27/05/2020 4:30,6384.43,26.88,TRADE
NSW1,27/05/2020 5:00,6485.96,33.07,TRADE
NSW1,27/05/2020 5:30,6779.03,35.64,TRADE
NSW1,27/05/2020 6:00,7134.46,37.24,TRADE
NSW1,27/05/2020 6:30,7713.4,48.1,TRADE
NSW1,27/05/2020 7:00,8334.85,70.92,TRADE
NSW1,27/05/2020 7:30,8766.58,57.26,TRADE
NSW1,27/05/2020 8:00,9047.63,54.55,TRADE
NSW1,27/05/2020 8:30,9032.22,51.21,TRADE
NSW1,27/05/2020 9:00,8701.72,50.63,TRADE
NSW1,27/05/2020 9:30,8443.27,44.66,TRADE
NSW1,27/05/2020 10:00,8208.93,41.45,TRADE
NSW1,27/05/2020 10:30,8006.07,36.38,TRADE
NSW1,27/05/2020 11:00,7859.71,34.49,TRADE
NSW1,27/05/2020 11:30,7736.4,33.72,TRADE
NSW1,27/05/2020 12:00,7726.99,34.98,TRADE
NSW1,27/05/2020 12:30,7705.24,34.18,TRADE
NSW1,27/05/2020 13:00,7746.21,34.37,TRADE
NSW1,27/05/2020 13:30,7765.95,36.07,TRADE
NSW1,27/05/2020 14:00,7709.13,35.49,TRADE
NSW1,27/05/2020 14:30,7736.02,39.0,TRADE
NSW1,27/05/2020 15:00,7816.73,38.91,TRADE
NSW1,27/05/2020 15:30,7964.44,38.37,TRADE
NSW1,27/05/2020 16:00,8257.44,40.07,TRADE
NSW1,27/05/2020 16:30,8695.09,45.95,TRADE
NSW1,27/05/2020 17:00,9127.64,52.43,TRADE
NSW1,27/05/2020 17:30,9686.55,96.44,TRADE
NSW1,27/05/2020 18:00,10162.61,220.8,TRADE
NSW1,27/05/2020 18:30,10154.16,134.38,TRADE
NSW1,27/05/2020 19:00,9976.3,62.6,TRADE
NSW1,27/05/2020 19:30,9672.51,55.14,TRADE
NSW1,27/05/2020 20:00,9462.67,52.32,TRADE
NSW1,27/05/2020 20:30,9289.69,51.28,TRADE
NSW1,27/05/2020 21:00,9085.25,50.38,TRADE
NSW1,27/05/2020 21:30,8819.85,48.1,TRADE
NSW1,27/05/2020 22:00,8565.9,48.7,TRADE
NSW1,27/05/2020 22:30,8545.73,49.75,TRADE
NSW1,27/05/2020 23:00,8298.05,43.6,TRADE
NSW1,27/05/2020 23:30,8230.77,43.43,TRADE
NSW1,28/05/2020 0:00,8135.32,41.08,TRADE
NSW1,28/05/2020 0:30,7938.86,43.75,TRADE
NSW1,28/05/2020 1:00,7824.28,46.3,TRADE
NSW1,28/05/2020 1:30,7593.31,43.04,TRADE
NSW1,28/05/2020 2:00,7369.69,39.08,TRADE
NSW1,28/05/2020 2:30,7059.18,38.34,TRADE
NSW1,28/05/2020 3:00,6835.85,38.0,TRADE
NSW1,28/05/2020 3:30,6641.65,37.86,TRADE
NSW1,28/05/2020 4:00,6620.77,38.1,TRADE
NSW1,28/05/2020 4:30,6556.62,37.68,TRADE
NSW1,28/05/2020 5:00,6615.5,36.86,TRADE
NSW1,28/05/2020 5:30,6909.59,38.37,TRADE
NSW1,28/05/2020 6:00,7221.14,38.06,TRADE
NSW1,28/05/2020 6:30,7895.84,38.83,TRADE
NSW1,28/05/2020 7:00,8455.61,51.98,TRADE
NSW1,28/05/2020 7:30,8885.32,58.83,TRADE
NSW1,28/05/2020 8:00,9156.18,58.9,TRADE
NSW1,28/05/2020 8:30,9063.76,58.49,TRADE
NSW1,28/05/2020 9:00,8731.13,51.15,TRADE
NSW1,28/05/2020 9:30,8474.41,45.77,TRADE
NSW1,28/05/2020 10:00,8225.38,43.38,TRADE
NSW1,28/05/2020 10:30,7982.71,41.72,TRADE
NSW1,28/05/2020 11:00,7733.93,38.37,TRADE
NSW1,28/05/2020 11:30,7482.87,37.49,TRADE
NSW1,28/05/2020 12:00,7290.67,37.89,TRADE
NSW1,28/05/2020 12:30,7200.62,38.38,TRADE
NSW1,28/05/2020 13:00,7118.68,38.38,TRADE
NSW1,28/05/2020 13:30,7158.49,38.37,TRADE
NSW1,28/05/2020 14:00,7167.87,37.92,TRADE
NSW1,28/05/2020 14:30,7331.26,42.16,TRADE
