REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,7/02/2020 0:00,7111.21,37.3,TRADE
NSW1,7/02/2020 0:30,6920.39,37.0,TRADE
NSW1,7/02/2020 1:00,6791.58,35.05,TRADE
NSW1,7/02/2020 1:30,6529.84,32.7,TRADE
NSW1,7/02/2020 2:00,6363.76,24.84,TRADE
NSW1,7/02/2020 2:30,6212.27,14.36,TRADE
NSW1,7/02/2020 3:00,6176.15,11.94,TRADE
NSW1,7/02/2020 3:30,6195.61,15.29,TRADE
NSW1,7/02/2020 4:00,6293.33,37.57,TRADE
NSW1,7/02/2020 4:30,6455.77,39.89,TRADE
NSW1,7/02/2020 5:00,6680.66,44.67,TRADE
NSW1,7/02/2020 5:30,7209.94,48.76,TRADE
NSW1,7/02/2020 6:00,7591.14,51.72,TRADE
NSW1,7/02/2020 6:30,8011.33,55.69,TRADE
NSW1,7/02/2020 7:00,8304.45,65.28,TRADE
NSW1,7/02/2020 7:30,8459.02,60.44,TRADE
NSW1,7/02/2020 8:00,8415.92,51.88,TRADE
NSW1,7/02/2020 8:30,8552.26,54.77,TRADE
NSW1,7/02/2020 9:00,8528.52,48.45,TRADE
NSW1,7/02/2020 9:30,8474.18,47.67,TRADE
NSW1,7/02/2020 10:00,8459.75,51.49,TRADE
NSW1,7/02/2020 10:30,8459.93,47.39,TRADE
NSW1,7/02/2020 11:00,8475.61,50.22,TRADE
NSW1,7/02/2020 11:30,8443.1,52.3,TRADE
NSW1,7/02/2020 12:00,8365.48,50.65,TRADE
NSW1,7/02/2020 12:30,8201.16,43.1,TRADE
NSW1,7/02/2020 13:00,8171.92,42.72,TRADE
NSW1,7/02/2020 13:30,8133.98,42.29,TRADE
NSW1,7/02/2020 14:00,8066.75,45.32,TRADE
NSW1,7/02/2020 14:30,8015.68,42.2,TRADE
NSW1,7/02/2020 15:00,8061.82,44.08,TRADE
NSW1,7/02/2020 15:30,8123.46,42.85,TRADE
NSW1,7/02/2020 16:00,8125.78,45.06,TRADE
NSW1,7/02/2020 16:30,8169.03,42.46,TRADE
NSW1,7/02/2020 17:00,8174.04,42.82,TRADE
NSW1,7/02/2020 17:30,8053.36,42.57,TRADE
NSW1,7/02/2020 18:00,8126.18,45.75,TRADE
NSW1,7/02/2020 18:30,8048.55,44.58,TRADE
NSW1,7/02/2020 19:00,8052.49,44.44,TRADE
NSW1,7/02/2020 19:30,8044.21,46.9,TRADE
NSW1,7/02/2020 20:00,7917.84,46.4,TRADE
NSW1,7/02/2020 20:30,7777.46,45.41,TRADE
NSW1,7/02/2020 21:00,7529.23,41.52,TRADE
NSW1,7/02/2020 21:30,7525.78,42.63,TRADE
NSW1,7/02/2020 22:00,7439.58,42.44,TRADE
NSW1,7/02/2020 22:30,7372.19,43.33,TRADE
NSW1,7/02/2020 23:00,7233.28,43.2,TRADE
NSW1,7/02/2020 23:30,7155.77,43.28,TRADE
NSW1,8/02/2020 0:00,7006.83,42.65,TRADE
NSW1,8/02/2020 0:30,6780.19,41.72,TRADE
NSW1,8/02/2020 1:00,6601.48,37.41,TRADE
NSW1,8/02/2020 1:30,6330.6,28.6,TRADE
NSW1,8/02/2020 2:00,6149.81,17.08,TRADE
NSW1,8/02/2020 2:30,6011.63,21.97,TRADE
NSW1,8/02/2020 3:00,5949.24,16.09,TRADE
NSW1,8/02/2020 3:30,5962.0,15.87,TRADE
NSW1,8/02/2020 4:00,5958.51,16.17,TRADE
NSW1,8/02/2020 4:30,6028.38,19.6,TRADE
NSW1,8/02/2020 5:00,6085.74,27.44,TRADE
NSW1,8/02/2020 5:30,6210.01,38.51,TRADE
NSW1,8/02/2020 6:00,6392.27,32.95,TRADE
NSW1,8/02/2020 6:30,6608.28,39.02,TRADE
NSW1,8/02/2020 7:00,6861.77,38.03,TRADE
NSW1,8/02/2020 7:30,7126.05,38.4,TRADE
NSW1,8/02/2020 8:00,7326.34,37.57,TRADE
NSW1,8/02/2020 8:30,7666.49,44.66,TRADE
NSW1,8/02/2020 9:00,7698.49,38.29,TRADE
NSW1,8/02/2020 9:30,7712.86,38.21,TRADE
NSW1,8/02/2020 10:00,7639.33,27.12,TRADE
NSW1,8/02/2020 10:30,7594.23,18.15,TRADE
NSW1,8/02/2020 11:00,7544.07,19.15,TRADE
NSW1,8/02/2020 11:30,7540.15,35.65,TRADE
NSW1,8/02/2020 12:00,7481.81,31.58,TRADE
NSW1,8/02/2020 12:30,7406.2,30.41,TRADE
NSW1,8/02/2020 13:00,7321.97,19.42,TRADE
NSW1,8/02/2020 13:30,7351.85,21.76,TRADE
NSW1,8/02/2020 14:00,7317.84,34.18,TRADE
NSW1,8/02/2020 14:30,7344.17,38.68,TRADE
NSW1,8/02/2020 15:00,7419.6,38.42,TRADE
NSW1,8/02/2020 15:30,7475.93,35.19,TRADE
NSW1,8/02/2020 16:00,7586.51,38.67,TRADE
NSW1,8/02/2020 16:30,7609.18,34.43,TRADE
NSW1,8/02/2020 17:00,7784.85,39.24,TRADE
NSW1,8/02/2020 17:30,7859.49,40.87,TRADE
NSW1,8/02/2020 18:00,7873.51,39.99,TRADE
NSW1,8/02/2020 18:30,7767.43,38.42,TRADE
NSW1,8/02/2020 19:00,7715.72,38.88,TRADE
NSW1,8/02/2020 19:30,7723.23,38.43,TRADE
NSW1,8/02/2020 20:00,7583.92,36.95,TRADE
NSW1,8/02/2020 20:30,7487.57,36.73,TRADE
NSW1,8/02/2020 21:00,7329.49,22.69,TRADE
NSW1,8/02/2020 21:30,7278.54,35.57,TRADE
NSW1,8/02/2020 22:00,7181.14,17.77,TRADE
NSW1,8/02/2020 22:30,7151.55,30.36,TRADE
NSW1,8/02/2020 23:00,7004.49,35.49,TRADE
NSW1,8/02/2020 23:30,6776.56,37.98,TRADE
NSW1,9/02/2020 0:00,6761.98,36.01,TRADE
NSW1,9/02/2020 0:30,6553.0,26.61,TRADE
NSW1,9/02/2020 1:00,6407.82,32.56,TRADE
NSW1,9/02/2020 1:30,6186.68,12.95,TRADE
NSW1,9/02/2020 2:00,5979.03,17.17,TRADE
NSW1,9/02/2020 2:30,5891.35,19.05,TRADE
NSW1,9/02/2020 3:00,5856.94,19.05,TRADE
NSW1,9/02/2020 3:30,5822.36,17.88,TRADE
NSW1,9/02/2020 4:00,5831.36,19.05,TRADE
NSW1,9/02/2020 4:30,5862.22,19.05,TRADE
NSW1,9/02/2020 5:00,5897.06,19.05,TRADE
NSW1,9/02/2020 5:30,5999.92,19.32,TRADE
NSW1,9/02/2020 6:00,6100.45,20.19,TRADE
NSW1,9/02/2020 6:30,6318.13,26.95,TRADE
NSW1,9/02/2020 7:00,6536.51,34.68,TRADE
NSW1,9/02/2020 7:30,6817.33,21.43,TRADE
NSW1,9/02/2020 8:00,7148.02,31.89,TRADE
NSW1,9/02/2020 8:30,7391.4,39.16,TRADE
NSW1,9/02/2020 9:00,7537.2,36.17,TRADE
NSW1,9/02/2020 9:30,7713.81,38.42,TRADE
NSW1,9/02/2020 10:00,7696.76,39.61,TRADE
NSW1,9/02/2020 10:30,7653.84,43.14,TRADE
NSW1,9/02/2020 11:00,7651.52,39.02,TRADE
NSW1,9/02/2020 11:30,7652.65,39.32,TRADE
NSW1,9/02/2020 12:00,7595.89,37.97,TRADE
NSW1,9/02/2020 12:30,7612.31,38.44,TRADE
NSW1,9/02/2020 13:00,7557.87,38.88,TRADE
NSW1,9/02/2020 13:30,7502.66,36.78,TRADE
NSW1,9/02/2020 14:00,7473.26,38.47,TRADE
NSW1,9/02/2020 14:30,7461.34,38.38,TRADE
NSW1,9/02/2020 15:00,7535.02,40.71,TRADE
NSW1,9/02/2020 15:30,7569.68,39.8,TRADE
NSW1,9/02/2020 16:00,7636.66,39.23,TRADE
NSW1,9/02/2020 16:30,7670.87,38.43,TRADE
NSW1,9/02/2020 17:00,7840.36,40.57,TRADE
NSW1,9/02/2020 17:30,7889.71,39.44,TRADE
NSW1,9/02/2020 18:00,7920.61,39.03,TRADE
NSW1,9/02/2020 18:30,7873.1,38.43,TRADE
NSW1,9/02/2020 19:00,7802.08,38.43,TRADE
NSW1,9/02/2020 19:30,7798.34,38.41,TRADE
NSW1,9/02/2020 20:00,7696.66,26.16,TRADE
NSW1,9/02/2020 20:30,7551.61,37.29,TRADE
NSW1,9/02/2020 21:00,7325.51,24.91,TRADE
NSW1,9/02/2020 21:30,7172.54,37.21,TRADE
NSW1,9/02/2020 22:00,7021.26,33.85,TRADE
