REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2024-01-01 00:30,6514.626666666667,57.98,TRADE
NSW1,2024-01-01 01:00,6357.34,54.95,TRADE
NSW1,2024-01-01 01:30,6185.963333333333,48.91,TRADE
NSW1,2024-01-01 02:00,6033.2266666666665,41.52,TRADE
NSW1,2024-01-01 02:30,5955.866666666666,49.78,TRADE
NSW1,2024-01-01 03:00,5882.586666666667,52.22,TRADE
NSW1,2024-01-01 03:30,5830.756666666667,46.205,TRADE
NSW1,2024-01-01 04:00,5804.028333333333,51.06,TRADE
NSW1,2024-01-01 04:30,5826.671666666666,42.260000000000005,TRADE
NSW1,2024-01-01 05:00,5848.071666666667,36.06,TRADE
NSW1,2024-01-01 05:30,5840.053333333333,35.88,TRADE
NSW1,2024-01-01 06:00,5786.211666666667,26.485,TRADE
NSW1,2024-01-01 06:30,5684.52,4.82,TRADE
NSW1,2024-01-01 07:00,5705.925,13.445,TRADE
NSW1,2024-01-01 07:30,5677.645,40.395,TRADE
NSW1,2024-01-01 08:00,5611.766666666666,0.0,TRADE
NSW1,2024-01-01 08:30,5892.125,36.06,TRADE
NSW1,2024-01-01 09:00,5994.03,36.06,TRADE
NSW1,2024-01-01 09:30,6077.349999999999,44.915,TRADE
NSW1,2024-01-01 10:00,6162.605,39.58,TRADE
NSW1,2024-01-01 10:30,6157.936666666666,37.2,TRADE
NSW1,2024-01-01 11:00,6131.983333333334,54.95,TRADE
NSW1,2024-01-01 11:30,6128.815,54.95,TRADE
NSW1,2024-01-01 12:00,6078.158333333333,48.575,TRADE
NSW1,2024-01-01 12:30,5899.09,28.235,TRADE
NSW1,2024-01-01 13:00,5925.766666666666,24.07,TRADE
NSW1,2024-01-01 13:30,6028.361666666667,37.125,TRADE
NSW1,2024-01-01 14:00,6013.113333333334,30.685,TRADE
NSW1,2024-01-01 14:30,6125.095,36.305,TRADE
NSW1,2024-01-01 15:00,6219.506666666667,36.06,TRADE
NSW1,2024-01-01 15:30,6458.993333333333,31.135,TRADE
NSW1,2024-01-01 16:00,6691.906666666667,35.02,TRADE
NSW1,2024-01-01 16:30,6936.886666666666,34.745000000000005,TRADE
NSW1,2024-01-01 17:00,7242.238333333334,36.06,TRADE
NSW1,2024-01-01 17:30,7447.743333333333,53.47,TRADE
NSW1,2024-01-01 18:00,7575.611666666667,54.95,TRADE
NSW1,2024-01-01 18:30,7645.759999999999,51.545,TRADE
NSW1,2024-01-01 19:00,7727.535,55.81,TRADE
NSW1,2024-01-01 19:30,7758.59,62.74,TRADE
NSW1,2024-01-01 20:00,7716.095,56.645,TRADE
NSW1,2024-01-01 20:30,7604.400000000001,61.645,TRADE
NSW1,2024-01-01 21:00,7502.134999999999,59.23,TRADE
NSW1,2024-01-01 21:30,7415.563333333333,56.07,TRADE
NSW1,2024-01-01 22:00,7314.518333333333,53.645,TRADE
NSW1,2024-01-01 22:30,7265.218333333333,48.915,TRADE
NSW1,2024-01-01 23:00,7175.73,49.275000000000006,TRADE
NSW1,2024-01-01 23:30,6993.278333333333,54.95,TRADE
NSW1,2024-01-02 00:00,6889.165,57.95,TRADE
NSW1,2024-01-02 00:30,6662.360000000001,54.89,TRADE
NSW1,2024-01-02 01:00,6503.716666666667,57.95,TRADE
NSW1,2024-01-02 01:30,6303.003333333334,54.7,TRADE
NSW1,2024-01-02 02:00,6128.468333333333,54.95,TRADE
NSW1,2024-01-02 02:30,6038.881666666667,54.515,TRADE
NSW1,2024-01-02 03:00,5985.1466666666665,53.405,TRADE
NSW1,2024-01-02 03:30,5950.841666666667,52.4,TRADE
NSW1,2024-01-02 04:00,5995.661666666667,52.370000000000005,TRADE
NSW1,2024-01-02 04:30,6098.555,48.165,TRADE
NSW1,2024-01-02 05:00,6180.0,53.395,TRADE
NSW1,2024-01-02 05:30,6342.366666666668,57.975,TRADE
NSW1,2024-01-02 06:00,6433.291666666667,58.0,TRADE
NSW1,2024-01-02 06:30,6584.443333333334,59.085,TRADE
NSW1,2024-01-02 07:00,6563.141666666666,43.335,TRADE
