REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2024-10-27 00:30,6494.573333333334,98.74,TRADE
NSW1,2024-10-27 01:00,6360.231666666667,76.215,TRADE
NSW1,2024-10-27 01:30,6154.281666666667,72.9,TRADE
NSW1,2024-10-27 02:00,6003.63,70.0,TRADE
NSW1,2024-10-27 02:30,5896.815,76.0,TRADE
NSW1,2024-10-27 03:00,5890.525000000001,76.0,TRADE
NSW1,2024-10-27 03:30,5799.176666666666,70.0,TRADE
NSW1,2024-10-27 04:00,5821.426666666666,72.9,TRADE
NSW1,2024-10-27 04:30,5876.131666666667,70.0,TRADE
NSW1,2024-10-27 05:00,5943.658333333333,70.0,TRADE
NSW1,2024-10-27 05:30,5996.346666666667,70.0,TRADE
NSW1,2024-10-27 06:00,5873.263333333333,69.655,TRADE
NSW1,2024-10-27 06:30,5764.3533333333335,63.5,TRADE
NSW1,2024-10-27 07:00,5573.360000000001,56.98,TRADE
NSW1,2024-10-27 07:30,5554.663333333333,72.805,TRADE
NSW1,2024-10-27 08:00,5296.956666666667,56.99,TRADE
NSW1,2024-10-27 08:30,4997.658333333333,44.78,TRADE
NSW1,2024-10-27 09:00,4646.203333333334,15.18,TRADE
NSW1,2024-10-27 09:30,4108.015,35.88,TRADE
NSW1,2024-10-27 10:00,3926.271666666667,36.44,TRADE
NSW1,2024-10-27 10:30,3652.4183333333335,10.02,TRADE
NSW1,2024-10-27 11:00,3508.6283333333336,-41.620000000000005,TRADE
NSW1,2024-10-27 11:30,3338.8016666666667,-40.035,TRADE
NSW1,2024-10-27 12:00,3429.191666666667,47.010000000000005,TRADE
NSW1,2024-10-27 12:30,3368.0783333333334,10.02,TRADE
NSW1,2024-10-27 13:00,3447.603333333333,36.44,TRADE
NSW1,2024-10-27 13:30,3507.515,10.02,TRADE
NSW1,2024-10-27 14:00,3792.413333333333,41.0,TRADE
NSW1,2024-10-27 14:30,4168.626666666666,39.0,TRADE
NSW1,2024-10-27 15:00,4562.698333333333,39.67,TRADE
NSW1,2024-10-27 15:30,5019.536666666667,-19.81,TRADE
NSW1,2024-10-27 16:00,5693.2266666666665,67.715,TRADE
NSW1,2024-10-27 16:30,6148.436666666666,3.339999999999998,TRADE
NSW1,2024-10-27 17:00,6832.365000000001,57.25,TRADE
NSW1,2024-10-27 17:30,7386.916666666667,85.005,TRADE
NSW1,2024-10-27 18:00,7709.541666666667,69.81,TRADE
NSW1,2024-10-27 18:30,7845.591666666667,72.905,TRADE
NSW1,2024-10-27 19:00,7877.616666666666,69.81,TRADE
NSW1,2024-10-27 19:30,7849.083333333333,69.81,TRADE
NSW1,2024-10-27 20:00,7676.631666666667,69.81,TRADE
NSW1,2024-10-27 20:30,7471.486666666667,120.0,TRADE
NSW1,2024-10-27 21:00,7260.661666666667,119.39,TRADE
NSW1,2024-10-27 21:30,7139.080000000001,121.88,TRADE
NSW1,2024-10-27 22:00,7036.411666666667,108.635,TRADE
NSW1,2024-10-27 22:30,6900.413333333334,76.0,TRADE
NSW1,2024-10-27 23:00,6746.323333333334,81.075,TRADE
NSW1,2024-10-27 23:30,6613.718333333333,100.01,TRADE
NSW1,2024-10-28 00:00,6484.175,76.85499999999999,TRADE
NSW1,2024-10-28 00:30,6313.563333333333,76.36,TRADE
NSW1,2024-10-28 01:00,6136.443333333334,75.4,TRADE
NSW1,2024-10-28 01:30,6041.321666666667,76.0,TRADE
NSW1,2024-10-28 02:00,5961.761666666666,75.8,TRADE
NSW1,2024-10-28 02:30,5924.465,69.655,TRADE
NSW1,2024-10-28 03:00,5890.243333333333,56.98,TRADE
NSW1,2024-10-28 03:30,5883.628333333334,68.47,TRADE
NSW1,2024-10-28 04:00,5951.553333333333,69.81,TRADE
NSW1,2024-10-28 04:30,6142.075,69.5,TRADE
NSW1,2024-10-28 05:00,6331.366666666666,69.81,TRADE
NSW1,2024-10-28 05:30,6643.915,69.99,TRADE
NSW1,2024-10-28 06:00,6849.858333333334,65.485,TRADE
NSW1,2024-10-28 06:30,6860.708333333333,35.41,TRADE
NSW1,2024-10-28 07:00,6728.62,35.88,TRADE
NSW1,2024-10-28 07:30,6448.03,37.0,TRADE
NSW1,2024-10-28 08:00,5921.099999999999,4.469999999999999,TRADE
NSW1,2024-10-28 08:30,5800.55,46.795,TRADE
NSW1,2024-10-28 09:00,5474.766666666666,41.545,TRADE
NSW1,2024-10-28 09:30,5147.759999999999,56.77,TRADE
NSW1,2024-10-28 10:00,5197.791666666667,92.995,TRADE
NSW1,2024-10-28 10:30,4987.39,66.5,TRADE
NSW1,2024-10-28 11:00,5050.485,46.78,TRADE
NSW1,2024-10-28 11:30,5164.245,10.02,TRADE
NSW1,2024-10-28 12:00,5510.201666666667,88.525,TRADE
NSW1,2024-10-28 12:30,5355.07,-11.055,TRADE
NSW1,2024-10-28 13:00,5252.206666666667,-35.0,TRADE
NSW1,2024-10-28 13:30,5209.578333333334,10.02,TRADE
NSW1,2024-10-28 14:00,5421.511666666666,18.535,TRADE
NSW1,2024-10-28 14:30,5653.338333333333,75.8,TRADE
NSW1,2024-10-28 15:00,6177.0233333333335,117.1,TRADE
