REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2024-07-19 00:30,8589.605,68.705,TRADE
NSW1,2024-07-19 01:00,8371.523333333333,59.075,TRADE
NSW1,2024-07-19 01:30,8123.515,56.99,TRADE
NSW1,2024-07-19 02:00,7837.995,56.775,TRADE
NSW1,2024-07-19 02:30,7676.418333333334,65.0,TRADE
NSW1,2024-07-19 03:00,7532.831666666666,65.0,TRADE
NSW1,2024-07-19 03:30,7412.733333333334,65.0,TRADE
NSW1,2024-07-19 04:00,7368.631666666667,76.72,TRADE
NSW1,2024-07-19 04:30,7439.571666666667,88.10499999999999,TRADE
NSW1,2024-07-19 05:00,7521.191666666667,88.14500000000001,TRADE
NSW1,2024-07-19 05:30,7831.478333333333,93.61,TRADE
NSW1,2024-07-19 06:00,8231.491666666667,113.19,TRADE
NSW1,2024-07-19 06:30,8902.881666666666,169.98,TRADE
NSW1,2024-07-19 07:00,9592.215,130.15,TRADE
NSW1,2024-07-19 07:30,10124.19,114.98,TRADE
NSW1,2024-07-19 08:00,10302.033333333333,88.79,TRADE
NSW1,2024-07-19 08:30,10192.695,88.79,TRADE
NSW1,2024-07-19 09:00,9591.653333333334,14.025,TRADE
NSW1,2024-07-19 09:30,8977.836666666668,39.0,TRADE
NSW1,2024-07-19 10:00,8886.745,99.675,TRADE
NSW1,2024-07-19 10:30,8567.355,25.17,TRADE
NSW1,2024-07-19 11:00,7688.048333333333,-19.1,TRADE
NSW1,2024-07-19 11:30,7397.48,-6.949999999999999,TRADE
NSW1,2024-07-19 12:00,6881.276666666668,-13.855,TRADE
NSW1,2024-07-19 12:30,6883.593333333333,59.265,TRADE
NSW1,2024-07-19 13:00,7107.188333333333,62.41,TRADE
NSW1,2024-07-19 13:30,6970.688333333333,59.265,TRADE
NSW1,2024-07-19 14:00,7495.458333333333,80.08,TRADE
NSW1,2024-07-19 14:30,8169.286666666667,92.61,TRADE
NSW1,2024-07-19 15:00,8733.525,63.275,TRADE
NSW1,2024-07-19 15:30,9063.753333333334,55.645,TRADE
NSW1,2024-07-19 16:00,9642.54,100.52,TRADE
NSW1,2024-07-19 16:30,10161.338333333331,96.985,TRADE
NSW1,2024-07-19 17:00,10664.18,247.375,TRADE
NSW1,2024-07-19 17:30,11138.37,260.735,TRADE
NSW1,2024-07-19 18:00,11537.471666666666,256.765,TRADE
NSW1,2024-07-19 18:30,11480.155,105.515,TRADE
NSW1,2024-07-19 19:00,11348.625,137.91500000000002,TRADE
NSW1,2024-07-19 19:30,11115.256666666666,102.625,TRADE
NSW1,2024-07-19 20:00,10894.981666666668,100.26,TRADE
NSW1,2024-07-19 20:30,10703.726666666667,105.1,TRADE
NSW1,2024-07-19 21:00,10458.44,97.465,TRADE
NSW1,2024-07-19 21:30,10219.361666666666,104.5,TRADE
NSW1,2024-07-19 22:00,9904.635,89.36500000000001,TRADE
NSW1,2024-07-19 22:30,9663.706666666669,96.155,TRADE
NSW1,2024-07-19 23:00,9329.325,84.61,TRADE
NSW1,2024-07-19 23:30,9112.376666666669,89.595,TRADE
NSW1,2024-07-20 00:00,8839.894999999999,87.5,TRADE
NSW1,2024-07-20 00:30,8533.973333333333,77.36,TRADE
NSW1,2024-07-20 01:00,8230.138333333334,75.22,TRADE
NSW1,2024-07-20 01:30,7963.976666666666,65.0,TRADE
NSW1,2024-07-20 02:00,7687.973333333332,65.0,TRADE
NSW1,2024-07-20 02:30,7455.413333333334,61.0,TRADE
NSW1,2024-07-20 03:00,7340.153333333333,65.0,TRADE
NSW1,2024-07-20 03:30,7141.428333333333,55.49,TRADE
NSW1,2024-07-20 04:00,7135.076666666667,60.99,TRADE
NSW1,2024-07-20 04:30,7052.645,60.99,TRADE
NSW1,2024-07-20 05:00,7013.384999999999,54.25,TRADE
NSW1,2024-07-20 05:30,7152.553333333333,56.98,TRADE
NSW1,2024-07-20 06:00,7273.06,58.22,TRADE
NSW1,2024-07-20 06:30,7574.361666666667,54.0,TRADE
NSW1,2024-07-20 07:00,7912.693333333334,54.0,TRADE
NSW1,2024-07-20 07:30,8280.898333333333,60.99,TRADE
NSW1,2024-07-20 08:00,8405.431666666665,35.88,TRADE
NSW1,2024-07-20 08:30,8300.961666666666,34.735,TRADE
NSW1,2024-07-20 09:00,8086.204999999999,21.605,TRADE
NSW1,2024-07-20 09:30,7668.596666666667,35.88,TRADE
NSW1,2024-07-20 10:00,7316.318333333334,7.185,TRADE
NSW1,2024-07-20 10:30,7213.110000000001,41.23,TRADE
NSW1,2024-07-20 11:00,6948.7266666666665,23.705,TRADE
NSW1,2024-07-20 11:30,6526.378333333334,-16.37,TRADE
NSW1,2024-07-20 12:00,6226.131666666667,-11.455,TRADE
NSW1,2024-07-20 12:30,6171.788333333334,-45.01,TRADE
NSW1,2024-07-20 13:00,6131.766666666666,-11.535,TRADE
NSW1,2024-07-20 13:30,6029.335,-33.9,TRADE
NSW1,2024-07-20 14:00,6199.431666666666,8.1,TRADE
NSW1,2024-07-20 14:30,6609.626666666667,52.0,TRADE
NSW1,2024-07-20 15:00,6908.783333333333,-45.005,TRADE
NSW1,2024-07-20 15:30,7523.325,-21.425,TRADE
NSW1,2024-07-20 16:00,8123.138333333333,-20.485,TRADE
NSW1,2024-07-20 16:30,8856.943333333335,-10.48,TRADE
NSW1,2024-07-20 17:00,9571.496666666666,67.47,TRADE
NSW1,2024-07-20 17:30,10191.82,78.02,TRADE
NSW1,2024-07-20 18:00,10793.481666666668,110.64,TRADE
NSW1,2024-07-20 18:30,10807.108333333334,98.91,TRADE
NSW1,2024-07-20 19:00,10708.531666666668,85.61,TRADE
NSW1,2024-07-20 19:30,10500.845,78.02,TRADE
NSW1,2024-07-20 20:00,10251.591666666664,78.02,TRADE
NSW1,2024-07-20 20:30,10157.681666666664,78.02,TRADE
NSW1,2024-07-20 21:00,9926.761666666667,78.02,TRADE
NSW1,2024-07-20 21:30,9686.771666666667,78.02,TRADE
NSW1,2024-07-20 22:00,9378.835,78.02,TRADE
NSW1,2024-07-20 22:30,9135.538333333332,78.02,TRADE
NSW1,2024-07-20 23:00,8904.859999999999,78.02,TRADE
NSW1,2024-07-20 23:30,8622.416666666666,77.37,TRADE
NSW1,2024-07-21 00:00,8343.826666666668,63.275,TRADE
NSW1,2024-07-21 00:30,8035.16,56.6,TRADE
NSW1,2024-07-21 01:00,7810.275000000001,59.27,TRADE
NSW1,2024-07-21 01:30,7571.871666666667,58.92,TRADE
NSW1,2024-07-21 02:00,7372.213333333333,54.5,TRADE
NSW1,2024-07-21 02:30,7158.298333333333,54.0,TRADE
NSW1,2024-07-21 03:00,7009.181666666666,54.0,TRADE
NSW1,2024-07-21 03:30,6850.353333333333,54.0,TRADE
NSW1,2024-07-21 04:00,6796.313333333333,54.0,TRADE
NSW1,2024-07-21 04:30,6845.413333333334,47.98,TRADE
NSW1,2024-07-21 05:00,6747.171666666666,54.0,TRADE
NSW1,2024-07-21 05:30,6858.606666666667,55.49,TRADE
NSW1,2024-07-21 06:00,6999.783333333333,57.855,TRADE
NSW1,2024-07-21 06:30,7313.801666666666,76.05,TRADE
NSW1,2024-07-21 07:00,7693.616666666666,78.02,TRADE
NSW1,2024-07-21 07:30,8054.496666666666,78.02,TRADE
NSW1,2024-07-21 08:00,8108.62,37.835,TRADE
NSW1,2024-07-21 08:30,7964.238333333334,35.88,TRADE
NSW1,2024-07-21 09:00,7584.21,37.695,TRADE
NSW1,2024-07-21 09:30,7134.776666666668,33.015,TRADE
NSW1,2024-07-21 10:00,6649.276666666668,20.355,TRADE
NSW1,2024-07-21 10:30,6177.77,21.715,TRADE
NSW1,2024-07-21 11:00,5799.278333333333,0.6200000000000001,TRADE
NSW1,2024-07-21 11:30,5613.708333333333,-31.695,TRADE
NSW1,2024-07-21 12:00,5327.291666666667,-44.005,TRADE
NSW1,2024-07-21 12:30,5232.085,-39.685,TRADE
NSW1,2024-07-21 13:00,5189.818333333334,-30.74,TRADE
NSW1,2024-07-21 13:30,5192.52,-45.51,TRADE
NSW1,2024-07-21 14:00,5377.918333333334,-47.055,TRADE
NSW1,2024-07-21 14:30,5692.985,24.625,TRADE
NSW1,2024-07-21 15:00,6150.766666666666,94.29,TRADE
NSW1,2024-07-21 15:30,6714.490000000001,22.130000000000003,TRADE
NSW1,2024-07-21 16:00,7404.22,31.655,TRADE
NSW1,2024-07-21 16:30,8121.823333333334,54.54,TRADE
NSW1,2024-07-21 17:00,8951.991666666667,90.11,TRADE
NSW1,2024-07-21 17:30,9663.538333333332,113.295,TRADE
NSW1,2024-07-21 18:00,10276.508333333331,166.91,TRADE
NSW1,2024-07-21 18:30,10480.858333333334,137.775,TRADE
NSW1,2024-07-21 19:00,10494.301666666666,105.37,TRADE
NSW1,2024-07-21 19:30,10299.0,102.275,TRADE
NSW1,2024-07-21 20:00,10190.47,105.8,TRADE
NSW1,2024-07-21 20:30,10062.921666666669,98.33,TRADE
NSW1,2024-07-21 21:00,9891.725,92.585,TRADE
NSW1,2024-07-21 21:30,9620.961666666668,82.205,TRADE
NSW1,2024-07-21 22:00,9322.296666666669,78.02,TRADE
NSW1,2024-07-21 22:30,9062.728333333334,86.225,TRADE
