REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,25/01/2024 0:30,7756.341667,87.22,TRADE
NSW1,25/01/2024 1:00,7486.743333,86.625,TRADE
NSW1,25/01/2024 1:30,7187.816667,85,TRADE
NSW1,25/01/2024 2:00,7007.24,92.245,TRADE
NSW1,25/01/2024 2:30,6903.898333,88.88,TRADE
NSW1,25/01/2024 3:00,6813.563333,88.49,TRADE
NSW1,25/01/2024 3:30,6865.508333,88.88,TRADE
NSW1,25/01/2024 4:00,6913.825,88.75,TRADE
NSW1,25/01/2024 4:30,7032.243333,88,TRADE
NSW1,25/01/2024 5:00,7303.226667,92.97,TRADE
NSW1,25/01/2024 5:30,7720.253333,94.54,TRADE
NSW1,25/01/2024 6:00,8008.831667,95.8,TRADE
NSW1,25/01/2024 6:30,8319.068333,88.88,TRADE
NSW1,25/01/2024 7:00,8540.615,62.75,TRADE
NSW1,25/01/2024 7:30,8743.171667,63.42,TRADE
NSW1,25/01/2024 8:00,8837.99,95.925,TRADE
NSW1,25/01/2024 8:30,9060.34,70.65,TRADE
NSW1,25/01/2024 9:00,9079.325,88,TRADE
NSW1,25/01/2024 9:30,9211.195,75.04,TRADE
NSW1,25/01/2024 10:00,9442.673333,64.505,TRADE
NSW1,25/01/2024 10:30,9637.833333,106.765,TRADE
NSW1,25/01/2024 11:00,9831.781667,101.205,TRADE
NSW1,25/01/2024 11:30,9937.27,113.93,TRADE
NSW1,25/01/2024 12:00,10074.015,73.67,TRADE
NSW1,25/01/2024 12:30,9971.166667,69.435,TRADE
NSW1,25/01/2024 13:00,10229.20833,69.145,TRADE
NSW1,25/01/2024 13:30,10115.93333,62.875,TRADE
NSW1,25/01/2024 14:00,10266.85667,65.135,TRADE
NSW1,25/01/2024 14:30,10180.11333,58,TRADE
NSW1,25/01/2024 15:00,10411.89333,67.335,TRADE
NSW1,25/01/2024 15:30,10854.335,123.515,TRADE
NSW1,25/01/2024 16:00,11061.68833,93.655,TRADE
NSW1,25/01/2024 16:30,10886.185,68.7,TRADE
NSW1,25/01/2024 17:00,11177.59667,104.455,TRADE
NSW1,25/01/2024 17:30,11111.49,99.18,TRADE
NSW1,25/01/2024 18:00,11108.695,156.255,TRADE
NSW1,25/01/2024 18:30,11010.62833,113.07,TRADE
NSW1,25/01/2024 19:00,10917.08667,112.615,TRADE
NSW1,25/01/2024 19:30,10840.935,97.24,TRADE
NSW1,25/01/2024 20:00,10629.635,95.98,TRADE
NSW1,25/01/2024 20:30,10273.83833,69.59,TRADE
NSW1,25/01/2024 21:00,9907.591667,90.33,TRADE
NSW1,25/01/2024 21:30,9691.095,108.525,TRADE
NSW1,25/01/2024 22:00,9407.125,98.59,TRADE
NSW1,25/01/2024 22:30,9068.376667,84.39,TRADE
NSW1,25/01/2024 23:00,8793.478333,70.865,TRADE
NSW1,25/01/2024 23:30,8449.665,72.61,TRADE
NSW1,26/01/2024 0:00,8227.29,71.38,TRADE
NSW1,26/01/2024 0:30,7927.861667,64.46,TRADE
NSW1,26/01/2024 1:00,7665.763333,63.905,TRADE
NSW1,26/01/2024 1:30,7407.543333,59.755,TRADE
NSW1,26/01/2024 2:00,7165.833333,59.49,TRADE
NSW1,26/01/2024 2:30,7070.04,62.75,TRADE
NSW1,26/01/2024 3:00,6994.235,58,TRADE
NSW1,26/01/2024 3:30,6973.87,61.615,TRADE
NSW1,26/01/2024 4:00,6943.473333,58,TRADE
NSW1,26/01/2024 4:30,6976.43,59.99,TRADE
NSW1,26/01/2024 5:00,6978.308333,72.485,TRADE
NSW1,26/01/2024 5:30,6997.551667,51.76,TRADE
NSW1,26/01/2024 6:00,7151.146667,40.475,TRADE
NSW1,26/01/2024 6:30,7191.725,-3.625,TRADE
NSW1,26/01/2024 7:00,7203.936667,-2.49,TRADE
NSW1,26/01/2024 7:30,7292.583333,19.745,TRADE
NSW1,26/01/2024 8:00,7347.893333,27.115,TRADE
NSW1,26/01/2024 8:30,7655.851667,34.96,TRADE
NSW1,26/01/2024 9:00,7828.82,35.88,TRADE
NSW1,26/01/2024 9:30,8641.52,95.905,TRADE
NSW1,26/01/2024 10:00,8636.57,51.43,TRADE
NSW1,26/01/2024 10:30,8752.895,51.08,TRADE
NSW1,26/01/2024 11:00,8930.361667,49.905,TRADE
NSW1,26/01/2024 11:30,9095.32,49.66,TRADE
NSW1,26/01/2024 12:00,9009.306667,49.56,TRADE
NSW1,26/01/2024 12:30,9007.941667,35.88,TRADE
NSW1,26/01/2024 13:00,9004.981667,46.145,TRADE
NSW1,26/01/2024 13:30,9073.263333,37.745,TRADE
NSW1,26/01/2024 14:00,9277.37,48.825,TRADE
NSW1,26/01/2024 14:30,9708.598333,57.33,TRADE
NSW1,26/01/2024 15:00,9463.713333,32.7,TRADE
NSW1,26/01/2024 15:30,9185.375,-20.095,TRADE
NSW1,26/01/2024 16:00,9398.64,59.895,TRADE
NSW1,26/01/2024 16:30,9571.378333,57.415,TRADE
NSW1,26/01/2024 17:00,9917.823333,40.725,TRADE
NSW1,26/01/2024 17:30,9942.106667,-20.005,TRADE
NSW1,26/01/2024 18:00,9744.488333,35.245,TRADE
NSW1,26/01/2024 18:30,9252.463333,59.23,TRADE
NSW1,26/01/2024 19:00,9167.591667,2805.555,TRADE
NSW1,26/01/2024 19:30,9314.42,17.77,TRADE
NSW1,26/01/2024 20:00,9195.648333,-6.02,TRADE
NSW1,26/01/2024 20:30,8968.46,20.42,TRADE
NSW1,26/01/2024 21:00,8727.531667,24.94,TRADE
NSW1,26/01/2024 21:30,8593.546667,48.61,TRADE
NSW1,26/01/2024 22:00,8570.955,72.945,TRADE
NSW1,26/01/2024 22:30,8389.728333,101.58,TRADE
NSW1,26/01/2024 23:00,8124.333333,67.69,TRADE
NSW1,26/01/2024 23:30,7904.998333,68.53,TRADE
NSW1,27/01/2024 0:00,7687.693333,70.045,TRADE
NSW1,27/01/2024 0:30,7458.478333,64.125,TRADE
NSW1,27/01/2024 1:00,7223.983333,62.915,TRADE
NSW1,27/01/2024 1:30,6961.555,62.75,TRADE
NSW1,27/01/2024 2:00,6782.041667,59.99,TRADE
NSW1,27/01/2024 2:30,6657.846667,62.75,TRADE
NSW1,27/01/2024 3:00,6588.413333,62.75,TRADE
NSW1,27/01/2024 3:30,6523.605,62.75,TRADE
NSW1,27/01/2024 4:00,6538.293333,62.75,TRADE
NSW1,27/01/2024 4:30,6630.843333,62.5,TRADE
NSW1,27/01/2024 5:00,6650.288333,62.5,TRADE
NSW1,27/01/2024 5:30,6752.523333,64.8,TRADE
NSW1,27/01/2024 6:00,6840.543333,63.05,TRADE
NSW1,27/01/2024 6:30,6910.963333,61.245,TRADE
NSW1,27/01/2024 7:00,6969.75,36.13,TRADE
NSW1,27/01/2024 7:30,7105.775,53.38,TRADE
NSW1,27/01/2024 8:00,7108.723333,58.27,TRADE
NSW1,27/01/2024 8:30,7130.776667,52.705,TRADE
NSW1,27/01/2024 9:00,7138.215,53.78,TRADE
NSW1,27/01/2024 9:30,7251.933333,55.505,TRADE
NSW1,27/01/2024 10:00,7185.375,58,TRADE
NSW1,27/01/2024 10:30,7200.955,75.265,TRADE
NSW1,27/01/2024 11:00,7019.215,58.995,TRADE
NSW1,27/01/2024 11:30,6971.456667,58,TRADE
NSW1,27/01/2024 12:00,6957.565,58,TRADE
NSW1,27/01/2024 12:30,6723.886667,53.24,TRADE
NSW1,27/01/2024 13:00,6660.981667,28.555,TRADE
NSW1,27/01/2024 13:30,6807.121667,39.48,TRADE
NSW1,27/01/2024 14:00,6836.128333,35.88,TRADE
NSW1,27/01/2024 14:30,6785.28,-5.145,TRADE
NSW1,27/01/2024 15:00,6796.958333,5,TRADE
NSW1,27/01/2024 15:30,7026.375,10.665,TRADE
NSW1,27/01/2024 16:00,7165.59,1,TRADE
NSW1,27/01/2024 16:30,7432.52,0.5,TRADE
NSW1,27/01/2024 17:00,7822,-3.945,TRADE
NSW1,27/01/2024 17:30,7914.61,9.885,TRADE
NSW1,27/01/2024 18:00,8035.968333,23.17,TRADE
NSW1,27/01/2024 18:30,8059.885,581.9,TRADE
NSW1,27/01/2024 19:00,8166.535,-43.155,TRADE
NSW1,27/01/2024 19:30,8237.308333,9.47,TRADE
NSW1,27/01/2024 20:00,8161.896667,26.3,TRADE
NSW1,27/01/2024 20:30,8027.291667,50.61,TRADE
NSW1,27/01/2024 21:00,7957.675,58,TRADE
NSW1,27/01/2024 21:30,7845.375,62.625,TRADE
NSW1,27/01/2024 22:00,7804.231667,65.83,TRADE
NSW1,27/01/2024 22:30,7624.308333,62.75,TRADE
NSW1,27/01/2024 23:00,7479.285,62.625,TRADE
NSW1,27/01/2024 23:30,7312.536667,62.75,TRADE
NSW1,28/01/2024 0:00,7155.546667,62.75,TRADE
NSW1,28/01/2024 0:30,7040.01,73.875,TRADE
NSW1,28/01/2024 1:00,6738.31,58.02,TRADE
NSW1,28/01/2024 1:30,6539.615,53.78,TRADE
NSW1,28/01/2024 2:00,6434.228333,58,TRADE
NSW1,28/01/2024 2:30,6289.99,58,TRADE
NSW1,28/01/2024 3:00,6291.305,58.995,TRADE
NSW1,28/01/2024 3:30,6248.323333,58,TRADE
NSW1,28/01/2024 4:00,6238.536667,58,TRADE
NSW1,28/01/2024 4:30,6237.178333,50.905,TRADE
NSW1,28/01/2024 5:00,6306.123333,57.76,TRADE
NSW1,28/01/2024 5:30,6416.861667,59.415,TRADE
NSW1,28/01/2024 6:00,6410.478333,58,TRADE
NSW1,28/01/2024 6:30,6384.318333,42.26,TRADE
NSW1,28/01/2024 7:00,6361.846667,11.315,TRADE
NSW1,28/01/2024 7:30,6373.98,36.005,TRADE
NSW1,28/01/2024 8:00,6190.405,35.88,TRADE
NSW1,28/01/2024 8:30,5999.363333,8.505,TRADE
NSW1,28/01/2024 9:00,5872.4,40.63,TRADE
NSW1,28/01/2024 9:30,5695.083333,31.1,TRADE
NSW1,28/01/2024 10:00,5532.601667,40.93,TRADE
NSW1,28/01/2024 10:30,5593.298333,59.99,TRADE
