REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,1/01/2024 0:30,6514.626667,57.98,TRADE
NSW1,1/01/2024 1:00,6357.34,54.95,TRADE
NSW1,1/01/2024 1:30,6185.963333,48.91,TRADE
NSW1,1/01/2024 2:00,6033.226667,41.52,TRADE
NSW1,1/01/2024 2:30,5955.866667,49.78,TRADE
NSW1,1/01/2024 3:00,5882.586667,52.22,TRADE
NSW1,1/01/2024 3:30,5830.756667,46.205,TRADE
NSW1,1/01/2024 4:00,5804.028333,51.06,TRADE
NSW1,1/01/2024 4:30,5826.671667,42.26,TRADE
NSW1,1/01/2024 5:00,5848.071667,36.06,TRADE
NSW1,1/01/2024 5:30,5840.053333,35.88,TRADE
NSW1,1/01/2024 6:00,5786.211667,26.485,TRADE
NSW1,1/01/2024 6:30,5684.52,4.82,TRADE
NSW1,1/01/2024 7:00,5705.925,13.445,TRADE
NSW1,1/01/2024 7:30,5677.645,40.395,TRADE
NSW1,1/01/2024 8:00,5611.766667,0,TRADE
NSW1,1/01/2024 8:30,5892.125,36.06,TRADE
NSW1,1/01/2024 9:00,5994.03,36.06,TRADE
NSW1,1/01/2024 9:30,6077.35,44.915,TRADE
NSW1,1/01/2024 10:00,6162.605,39.58,TRADE
NSW1,1/01/2024 10:30,6157.936667,37.2,TRADE
NSW1,1/01/2024 11:00,6131.983333,54.95,TRADE
NSW1,1/01/2024 11:30,6128.815,54.95,TRADE
NSW1,1/01/2024 12:00,6078.158333,48.575,TRADE
NSW1,1/01/2024 12:30,5899.09,28.235,TRADE
NSW1,1/01/2024 13:00,5925.766667,24.07,TRADE
NSW1,1/01/2024 13:30,6028.361667,37.125,TRADE
NSW1,1/01/2024 14:00,6013.113333,30.685,TRADE
NSW1,1/01/2024 14:30,6125.095,36.305,TRADE
NSW1,1/01/2024 15:00,6219.506667,36.06,TRADE
NSW1,1/01/2024 15:30,6458.993333,31.135,TRADE
NSW1,1/01/2024 16:00,6691.906667,35.02,TRADE
NSW1,1/01/2024 16:30,6936.886667,34.745,TRADE
NSW1,1/01/2024 17:00,7242.238333,36.06,TRADE
NSW1,1/01/2024 17:30,7447.743333,53.47,TRADE
NSW1,1/01/2024 18:00,7575.611667,54.95,TRADE
NSW1,1/01/2024 18:30,7645.76,51.545,TRADE
NSW1,1/01/2024 19:00,7727.535,55.81,TRADE
NSW1,1/01/2024 19:30,7758.59,62.74,TRADE
NSW1,1/01/2024 20:00,7716.095,56.645,TRADE
NSW1,1/01/2024 20:30,7604.4,61.645,TRADE
NSW1,1/01/2024 21:00,7502.135,59.23,TRADE
NSW1,1/01/2024 21:30,7415.563333,56.07,TRADE
NSW1,1/01/2024 22:00,7314.518333,53.645,TRADE
NSW1,1/01/2024 22:30,7265.218333,48.915,TRADE
NSW1,1/01/2024 23:00,7175.73,49.275,TRADE
NSW1,1/01/2024 23:30,6993.278333,54.95,TRADE
NSW1,2/01/2024 0:00,6889.165,57.95,TRADE
NSW1,2/01/2024 0:30,6662.36,54.89,TRADE
NSW1,2/01/2024 1:00,6503.716667,57.95,TRADE
NSW1,2/01/2024 1:30,6303.003333,54.7,TRADE
NSW1,2/01/2024 2:00,6128.468333,54.95,TRADE
NSW1,2/01/2024 2:30,6038.881667,54.515,TRADE
NSW1,2/01/2024 3:00,5985.146667,53.405,TRADE
NSW1,2/01/2024 3:30,5950.841667,52.4,TRADE
NSW1,2/01/2024 4:00,5995.661667,52.37,TRADE
NSW1,2/01/2024 4:30,6098.555,48.165,TRADE
NSW1,2/01/2024 5:00,6180,53.395,TRADE
NSW1,2/01/2024 5:30,6342.366667,57.975,TRADE
NSW1,2/01/2024 6:00,6433.291667,58,TRADE
NSW1,2/01/2024 6:30,6584.443333,59.085,TRADE
NSW1,2/01/2024 7:00,6563.141667,43.335,TRADE
NSW1,2/01/2024 7:30,6570.726667,27.995,TRADE
NSW1,2/01/2024 8:00,6520.303333,21.775,TRADE
NSW1,2/01/2024 8:30,6473.015,22.385,TRADE
NSW1,2/01/2024 9:00,6390.62,35.475,TRADE
NSW1,2/01/2024 9:30,6369.193333,36.75,TRADE
NSW1,2/01/2024 10:00,6396.713333,49.805,TRADE
NSW1,2/01/2024 10:30,6303.133333,52.02,TRADE
NSW1,2/01/2024 11:00,6188.388333,36.62,TRADE
NSW1,2/01/2024 11:30,6191.618333,48.26,TRADE
NSW1,2/01/2024 12:00,6246.066667,49.78,TRADE
NSW1,2/01/2024 12:30,6396.818333,54.95,TRADE
NSW1,2/01/2024 13:00,6530.521667,56.45,TRADE
NSW1,2/01/2024 13:30,6658.103333,57.95,TRADE
NSW1,2/01/2024 14:00,6858.863333,47.865,TRADE
NSW1,2/01/2024 14:30,6973.278333,35.97,TRADE
NSW1,2/01/2024 15:00,7282.748333,35.88,TRADE
NSW1,2/01/2024 15:30,7647.853333,36.06,TRADE
NSW1,2/01/2024 16:00,7931.268333,46.735,TRADE
NSW1,2/01/2024 16:30,8129.921667,28.125,TRADE
NSW1,2/01/2024 17:00,8607.508333,39.965,TRADE
NSW1,2/01/2024 17:30,8765.616667,42.31,TRADE
NSW1,2/01/2024 18:00,8721.49,45.435,TRADE
NSW1,2/01/2024 18:30,8662.178333,57.405,TRADE
NSW1,2/01/2024 19:00,8641.361667,65.51,TRADE
NSW1,2/01/2024 19:30,8602.058333,79.94,TRADE
NSW1,2/01/2024 20:00,8548.238333,87.155,TRADE
NSW1,2/01/2024 20:30,8441.996667,88.055,TRADE
NSW1,2/01/2024 21:00,8204.855,80.66,TRADE
NSW1,2/01/2024 21:30,8100.723333,62.74,TRADE
NSW1,2/01/2024 22:00,8070.881667,66.24,TRADE
NSW1,2/01/2024 22:30,7855.316667,64.95,TRADE
NSW1,2/01/2024 23:00,7663.956667,68.61,TRADE
NSW1,2/01/2024 23:30,7458.108333,100,TRADE
NSW1,3/01/2024 0:00,7305.971667,91.61,TRADE
NSW1,3/01/2024 0:30,7140.231667,87.84,TRADE
NSW1,3/01/2024 1:00,6926.941667,75.225,TRADE
NSW1,3/01/2024 1:30,6711.393333,61.03,TRADE
NSW1,3/01/2024 2:00,6561.386667,60.38,TRADE
NSW1,3/01/2024 2:30,6427.713333,58,TRADE
NSW1,3/01/2024 3:00,6414.91,60.625,TRADE
NSW1,3/01/2024 3:30,6353.706667,59.37,TRADE
NSW1,3/01/2024 4:00,6303.005,56.45,TRADE
NSW1,3/01/2024 4:30,6418.138333,62.425,TRADE
NSW1,3/01/2024 5:00,6499.926667,74.205,TRADE
NSW1,3/01/2024 5:30,6661.958333,88.885,TRADE
NSW1,3/01/2024 6:00,6728.216667,74.165,TRADE
NSW1,3/01/2024 6:30,6764.41,40.18,TRADE
NSW1,3/01/2024 7:00,6768.915,-10.195,TRADE
NSW1,3/01/2024 7:30,6819.868333,10,TRADE
NSW1,3/01/2024 8:00,6676.993333,10,TRADE
NSW1,3/01/2024 8:30,6591.593333,36.06,TRADE
NSW1,3/01/2024 9:00,6345.983333,35.88,TRADE
NSW1,3/01/2024 9:30,6231.168333,34.015,TRADE
