REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,16/01/2024 0:30,6960.906667,50.155,TRADE
NSW1,16/01/2024 1:00,6616.246667,38.34,TRADE
NSW1,16/01/2024 1:30,6418.376667,36.13,TRADE
NSW1,16/01/2024 2:00,6286.98,44.695,TRADE
NSW1,16/01/2024 2:30,6180.475,47.98,TRADE
NSW1,16/01/2024 3:00,6165.171667,55.48,TRADE
NSW1,16/01/2024 3:30,6203.041667,61.37,TRADE
NSW1,16/01/2024 4:00,6244.63,56.17,TRADE
NSW1,16/01/2024 4:30,6374.935,56.545,TRADE
NSW1,16/01/2024 5:00,6624.38,77.64,TRADE
NSW1,16/01/2024 5:30,6858.376667,80.66,TRADE
NSW1,16/01/2024 6:00,7120.69,84.53,TRADE
NSW1,16/01/2024 6:30,7343.548333,59.395,TRADE
NSW1,16/01/2024 7:00,7529.241667,58.9,TRADE
NSW1,16/01/2024 7:30,7568.738333,49.685,TRADE
NSW1,16/01/2024 8:00,7538.503333,57.095,TRADE
NSW1,16/01/2024 8:30,7439.985,54.74,TRADE
NSW1,16/01/2024 9:00,7308.556667,78.05,TRADE
NSW1,16/01/2024 9:30,7265.626667,49.58,TRADE
NSW1,16/01/2024 10:00,7423.923333,59.045,TRADE
NSW1,16/01/2024 10:30,7508.155,60.865,TRADE
NSW1,16/01/2024 11:00,7314.505,57.99,TRADE
NSW1,16/01/2024 11:30,7196.965,111.095,TRADE
NSW1,16/01/2024 12:00,7345.656667,72.565,TRADE
NSW1,16/01/2024 12:30,7222.851667,55.385,TRADE
NSW1,16/01/2024 13:00,7310.006667,118.845,TRADE
NSW1,16/01/2024 13:30,7598.966667,72.455,TRADE
NSW1,16/01/2024 14:00,7796.383333,299.985,TRADE
NSW1,16/01/2024 14:30,7772.813333,138.86,TRADE
NSW1,16/01/2024 15:00,7884.158333,220.03,TRADE
NSW1,16/01/2024 15:30,7989.661667,97.595,TRADE
NSW1,16/01/2024 16:00,8328.606667,99.385,TRADE
NSW1,16/01/2024 16:30,8246.44,59.57,TRADE
NSW1,16/01/2024 17:00,8400.675,55.12,TRADE
NSW1,16/01/2024 17:30,8565.87,60.835,TRADE
NSW1,16/01/2024 18:00,8627.976667,82.24,TRADE
NSW1,16/01/2024 18:30,8538.238333,88.045,TRADE
NSW1,16/01/2024 19:00,8524.408333,94.57,TRADE
NSW1,16/01/2024 19:30,8548.718333,95.03,TRADE
NSW1,16/01/2024 20:00,8465.283333,82.915,TRADE
NSW1,16/01/2024 20:30,8428.763333,72.755,TRADE
NSW1,16/01/2024 21:00,8152.573333,77.04,TRADE
NSW1,16/01/2024 21:30,8000.781667,91.165,TRADE
NSW1,16/01/2024 22:00,7867.705,108.51,TRADE
NSW1,16/01/2024 22:30,7711.406667,99.3,TRADE
NSW1,16/01/2024 23:00,7538.328333,79.115,TRADE
NSW1,16/01/2024 23:30,7333.513333,78.485,TRADE
NSW1,17/01/2024 0:00,7202.365,60.73,TRADE
NSW1,17/01/2024 0:30,7073.963333,59.425,TRADE
NSW1,17/01/2024 1:00,6785.075,53.08,TRADE
NSW1,17/01/2024 1:30,6564.933333,51.345,TRADE
NSW1,17/01/2024 2:00,6375.86,48.36,TRADE
NSW1,17/01/2024 2:30,6321.395,48.55,TRADE
NSW1,17/01/2024 3:00,6327.541667,54.45,TRADE
NSW1,17/01/2024 3:30,6333.436667,54.375,TRADE
NSW1,17/01/2024 4:00,6375.153333,53.395,TRADE
NSW1,17/01/2024 4:30,6534.688333,62.75,TRADE
NSW1,17/01/2024 5:00,6722.593333,89.095,TRADE
NSW1,17/01/2024 5:30,7042.458333,94.75,TRADE
NSW1,17/01/2024 6:00,7281.515,76.8,TRADE
NSW1,17/01/2024 6:30,7473.926667,80.565,TRADE
NSW1,17/01/2024 7:00,7648.443333,62.765,TRADE
NSW1,17/01/2024 7:30,7696.823333,78.445,TRADE
NSW1,17/01/2024 8:00,7649.04,70.145,TRADE
NSW1,17/01/2024 8:30,7540.328333,94.74,TRADE
NSW1,17/01/2024 9:00,7501.461667,102.095,TRADE
NSW1,17/01/2024 9:30,7172.831667,94.555,TRADE
NSW1,17/01/2024 10:00,6910.941667,52.46,TRADE
NSW1,17/01/2024 10:30,7157.176667,61.265,TRADE
NSW1,17/01/2024 11:00,7514.105,89.49,TRADE
NSW1,17/01/2024 11:30,7850.965,77.925,TRADE
NSW1,17/01/2024 12:00,8026.261667,90.62,TRADE
NSW1,17/01/2024 12:30,8384.55,137.68,TRADE
NSW1,17/01/2024 13:00,8445.12,137.68,TRADE
NSW1,17/01/2024 13:30,8643.96,100.01,TRADE
NSW1,17/01/2024 14:00,9029.463333,118.845,TRADE
NSW1,17/01/2024 14:30,9184.926667,125.84,TRADE
NSW1,17/01/2024 15:00,9245.1,89.64,TRADE
NSW1,17/01/2024 15:30,9294.406667,64.105,TRADE
NSW1,17/01/2024 16:00,9386.85,137.68,TRADE
NSW1,17/01/2024 16:30,9554.173333,115.17,TRADE
NSW1,17/01/2024 17:00,9628.515,137.16,TRADE
NSW1,17/01/2024 17:30,9490.153333,125.915,TRADE
NSW1,17/01/2024 18:00,9296.188333,137.79,TRADE
NSW1,17/01/2024 18:30,9181.5,147.56,TRADE
NSW1,17/01/2024 19:00,9095.51,60.94,TRADE
NSW1,17/01/2024 19:30,9095.166667,60.075,TRADE
NSW1,17/01/2024 20:00,8987.676667,84.645,TRADE
NSW1,17/01/2024 20:30,8695.773333,131.915,TRADE
NSW1,17/01/2024 21:00,8369.365,127.175,TRADE
NSW1,17/01/2024 21:30,8310.243333,129.925,TRADE
NSW1,17/01/2024 22:00,8196.916667,111.635,TRADE
NSW1,17/01/2024 22:30,7962.473333,107.89,TRADE
NSW1,17/01/2024 23:00,7757.688333,100,TRADE
NSW1,17/01/2024 23:30,7495.298333,91.03,TRADE
NSW1,18/01/2024 0:00,7311.74,86.29,TRADE
NSW1,18/01/2024 0:30,7098.111667,68,TRADE
NSW1,18/01/2024 1:00,6846.746667,62.75,TRADE
NSW1,18/01/2024 1:30,6651.86,77.705,TRADE
NSW1,18/01/2024 2:00,6511.166667,74,TRADE
NSW1,18/01/2024 2:30,6481.998333,74.525,TRADE
NSW1,18/01/2024 3:00,6430.788333,62.75,TRADE
