date,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),rain (mm),raining (s),SWDR (W/m�),PAR (�mol/m�/s),max. PAR (�mol/m�/s),Tlog (degC),OT
2020-10-19 21:00:00,995.68,5.84,279.34,3.24,83.3,9.26,7.71,1.55,4.83,7.74,1239.61,0.37,0.75,211.5,0.0,0.0,0.0,0.0,0.0,16.32,426.2
2020-10-19 21:10:00,995.79,5.67,279.16,3.14,83.7,9.15,7.66,1.49,4.8,7.69,1240.53,0.54,1.09,228.8,0.0,0.0,0.0,0.0,0.0,16.16,426.4
2020-10-19 21:20:00,995.99,5.1,278.57,3.32,88.2,8.79,7.75,1.04,4.86,7.78,1243.27,1.33,2.17,184.2,0.0,0.0,0.0,0.0,0.0,16.01,432.7
2020-10-19 21:30:00,995.92,4.76,278.24,3.36,90.6,8.58,7.78,0.81,4.87,7.81,1244.7,0.89,1.43,279.9,0.0,0.0,0.0,0.0,0.0,15.85,435.9
2020-10-19 21:40:00,995.87,5.09,278.57,3.32,88.3,8.78,7.76,1.03,4.86,7.79,1243.18,0.48,0.93,194.6,0.0,0.0,0.0,0.0,0.0,15.65,435.3
2020-10-19 21:50:00,995.84,4.98,278.46,3.43,89.7,8.72,7.82,0.9,4.9,7.85,1243.6,0.35,0.62,58.43,0.0,0.0,0.0,0.0,0.0,15.46,438.3
2020-10-19 22:00:00,995.72,4.85,278.35,3.39,90.2,8.64,7.79,0.85,4.88,7.83,1244.02,0.27,0.58,70.49,0.0,0.0,0.0,0.0,0.0,15.3,438.7
2020-10-19 22:10:00,995.58,4.16,277.66,3.05,92.5,8.23,7.61,0.62,4.77,7.64,1247.07,0.33,0.7,194.0,0.0,0.0,0.0,0.0,0.0,15.15,440.5
2020-10-19 22:20:00,995.43,3.81,277.33,2.89,93.7,8.03,7.52,0.51,4.71,7.56,1248.47,0.5,1.14,238.4,0.0,0.0,0.0,0.0,0.0,15.01,435.2
2020-10-19 22:30:00,995.25,4.1,277.62,2.96,92.3,8.19,7.56,0.63,4.74,7.6,1246.95,0.51,0.93,116.0,0.0,0.0,0.0,0.0,0.0,14.86,437.3
2020-10-19 22:40:00,995.1,4.06,277.6,3.06,93.2,8.17,7.61,0.56,4.77,7.65,1246.9,0.37,0.68,101.0,0.0,0.0,0.0,0.0,0.0,14.71,440.9
2020-10-19 22:50:00,994.92,4.05,277.6,2.99,92.8,8.16,7.58,0.59,4.75,7.62,1246.74,0.36,0.72,59.12,0.0,0.0,0.0,0.0,0.0,14.56,439.1
2020-10-19 23:00:00,994.69,3.85,277.42,2.99,94.1,8.05,7.58,0.48,4.75,7.62,1247.33,0.72,1.04,44.18,0.0,0.0,0.0,0.0,0.0,14.42,440.6
