date,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),rain (mm),raining (s),SWDR (W/m�),PAR (�mol/m�/s),max. PAR (�mol/m�/s),Tlog (degC),OT
2020-09-13 03:40:00,998.21,12.76,286.06,11.36,91.2,14.76,13.46,1.3,8.43,13.49,1210.04,0.87,1.74,175.5,0.0,0.0,0.0,0.0,0.0,22.65,446.3
2020-09-13 03:50:00,998.23,12.34,285.63,11.23,92.9,14.36,13.34,1.02,8.36,13.37,1211.9,0.72,1.56,126.1,0.0,0.0,0.0,0.0,0.0,22.54,453.1
2020-09-13 04:00:00,998.38,12.28,285.56,11.17,92.9,14.31,13.29,1.02,8.32,13.31,1212.37,0.46,0.78,124.6,0.0,0.0,0.0,0.0,0.0,22.44,450.3
2020-09-13 04:10:00,998.41,12.16,285.44,11.08,93.1,14.19,13.21,0.98,8.27,13.23,1212.94,0.34,0.7,165.8,0.0,0.0,0.0,0.0,0.0,22.33,444.9
2020-09-13 04:20:00,998.33,12.06,285.35,11.13,94.0,14.1,13.25,0.85,8.3,13.28,1213.26,0.5,1.3,159.8,0.0,0.0,0.0,0.0,0.0,22.23,447.7
2020-09-13 04:30:00,998.46,12.22,285.5,11.28,94.0,14.25,13.39,0.85,8.39,13.41,1212.67,0.52,1.24,136.7,0.0,0.0,0.0,0.0,0.0,22.13,447.0
2020-09-13 04:40:00,998.6,12.18,285.44,11.26,94.1,14.21,13.37,0.84,8.37,13.39,1213.02,0.63,1.07,65.39,0.0,0.0,0.0,0.0,0.0,22.05,451.7
2020-09-13 04:50:00,998.72,12.08,285.33,11.35,95.3,14.12,13.45,0.66,8.42,13.47,1213.56,1.12,1.64,350.7,0.0,0.0,0.0,0.0,0.0,21.96,449.3
2020-09-13 05:00:00,998.84,11.94,285.18,11.17,95.0,13.99,13.29,0.7,8.32,13.3,1214.38,0.29,0.77,277.9,0.0,0.0,0.0,0.0,0.0,21.85,452.8
2020-09-13 05:10:00,998.93,11.74,284.98,11.17,96.3,13.8,13.29,0.51,8.32,13.31,1215.34,0.47,0.87,216.1,0.0,0.0,0.0,0.0,0.0,21.74,451.7
2020-09-13 05:20:00,998.99,11.79,285.02,11.16,95.9,13.85,13.28,0.57,8.31,13.3,1215.2,0.22,0.61,68.64,0.0,0.0,0.0,0.0,0.0,21.64,453.1
2020-09-13 05:30:00,999.06,11.74,284.97,11.09,95.8,13.8,13.22,0.58,8.28,13.24,1215.53,0.54,1.07,55.68,0.0,0.0,0.0,0.0,0.0,21.55,457.0
2020-09-13 05:40:00,999.06,11.55,284.78,11.01,96.5,13.63,13.16,0.48,8.23,13.17,1216.37,0.24,0.58,47.54,0.0,0.0,0.0,2.27,3.89,21.46,460.4
2020-09-13 05:50:00,999.17,11.53,284.75,11.06,96.9,13.61,13.19,0.42,8.25,13.2,1216.57,0.71,1.2,47.11,0.0,0.0,0.77,6.79,10.52,21.38,462.3
2020-09-13 06:00:00,999.27,11.35,284.56,11.02,97.8,13.45,13.16,0.3,8.23,13.17,1217.48,0.78,2.23,233.5,0.0,0.0,6.57,17.43,25.31,21.29,458.8
2020-09-13 06:10:00,999.12,11.17,284.39,10.85,97.9,13.29,13.01,0.28,8.14,13.03,1218.13,1.98,2.78,218.3,0.0,0.0,15.48,34.85,44.56,21.2,453.0
2020-09-13 06:20:00,999.1,11.14,284.36,10.88,98.3,13.27,13.04,0.23,8.16,13.05,1218.22,1.22,1.8,208.4,0.0,0.0,27.81,56.8,69.57,21.11,455.3
2020-09-13 06:30:00,999.17,11.32,284.54,10.95,97.6,13.43,13.1,0.32,8.2,13.11,1217.51,1.28,1.79,179.3,0.0,0.0,41.94,84.9,103.61,21.03,469.2
